CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG22,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,SRVC75,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,LOC5
1997,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1998,2014,CA,0,1,4,,0,0,0,0,0,0,,,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0
1999,2014,CA,1,1,2,,1,1,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,D,0
2000,2014,CA,0,1,4,,0,1,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,0,,,1,0,0,1,0,0,,,,,,1,0,0,1,0,0,0,0,0,0,0
2001,2014,CA,1,1,4,,1,0,0,1,0,0,,,5,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0
2002,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,,,,,,0,1,0,1,0,0,0,0,0,0,1
2003,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,,,,,,0,0,0,1,0,0,0,0,1,0,0
2004,2014,CA,0,1,2,,0,0,0,0,0,0,,,3,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,1,1,1,0,,,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,D,1,1,1,1
2005,2014,CA,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,1,0,1,0,,,1,0,0,1,0,0,,,,,,0,0,0,1,0,0,0,0,0,0,0
2006,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,1,1,0,,,1,0,0,1,0,0,,,,,,1,1,0,1,0,0,0,0,1,D,0
2007,2014,CA,1,1,1,,0,0,0,1,1,0,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,0,0,,,,,,0,0,0,1,0,0,0,0,1,0,0
2008,2014,CA,0,1,2,,0,0,0,1,0,0,0,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,,,,,,0,1,0,1,0,0,0,0,0,0,0
2009,2014,CA,0,1,2,,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,1,1,0,,,1,0,0,1,0,0,,,,,,1,0,0,1,0,0,0,0,0,D,0
2010,2014,CA,1,1,2,,0,0,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,0,,,1,1,1,1,0,0,,,,,,1,1,0,1,0,0,D,1,1,D,1
2011,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,,,,,,0,1,0,1,0,0,0,1,1,0,0
2012,2014,CA,0,1,2,,0,0,0,1,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,0,,,,,,0,1,0,1,0,0,0,1,1,0,0
2013,2014,CA,1,1,1,,1,0,0,1,1,0,0,2,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,0,0,,,,,,0,0,0,1,0,0,D,0,1,D,0
2014,2014,CA,0,1,1,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,,,1,0,0,1,1,0,,,,,,1,1,0,1,0,0,0,0,1,0,0
2015,2014,CA,0,1,1,,0,0,0,0,0,0,,,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,D,0,D,0
2016,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,D,1,D,0
2017,2014,CA,1,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,0,0,,,,,,1,1,0,1,0,0,1,0,1,D,0
2018,2014,CA,0,1,1,,0,0,0,0,0,0,,,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2019,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,D,0
2020,2014,CA,1,1,2,,0,0,0,0,0,0,,,5,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,1,1,1,0,,,1,1,0,1,0,0,,,,,,1,1,0,1,0,0,0,0,0,0,0
2021,2014,CA,1,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,1,1,0,,,1,1,1,0,0,0,,,,,,1,1,0,1,1,0,0,0,1,D,0
2022,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
2023,2014,CA,1,1,2,,0,0,0,0,0,0,,,4,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,1,0,,,1,1,1,1,0,0,,,,,,1,1,0,1,0,0,0,0,0,0,0
2024,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2025,2014,CA,1,1,2,,1,1,0,1,1,0,0,1,M,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,1,1,0,1,0,0,,,,,,0,1,0,1,1,0,0,0,1,D,0
2026,2014,CA,1,1,6,2,1,1,0,1,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,,,0,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2027,2014,CA,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,0,,,,,,1,1,0,1,0,0,1,0,1,0,0
2028,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,0,0,,,,,,1,0,0,1,0,0,0,0,0,0,0
2029,2014,CA,1,1,2,,1,1,1,1,1,0,0,2,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,1,1,0,,,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1
2030,2014,CA,0,1,2,,0,0,0,0,0,0,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,1,1,0,,,1,0,1,1,1,0,,,,,,1,0,0,1,0,0,0,0,1,0,1
2031,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,,,1,0,0,1,0,0,,,,,,1,1,0,1,0,0,0,0,0,D,0
2032,2014,CA,0,1,3,,0,0,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,,,,,,1,0,0,1,0,0,0,0,0,0,0
2033,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,1,0,,,1,0,1,1,0,0,,,,,,1,1,0,1,0,0,0,0,0,0,0
2034,2014,CA,1,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,1,1,1,0,,,1,1,1,0,0,0,,,,,,1,1,0,1,0,0,1,1,1,0,0
2035,2014,CA,1,1,2,,0,0,0,1,0,0,0,3,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,D,1
2036,2014,CA,0,1,2,,0,0,0,0,0,0,,,3,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,1,1,0,,,1,0,0,1,0,0,,,,,,0,1,0,1,0,0,0,0,0,0,1
2037,2014,CA,0,1,2,,0,0,0,0,0,0,,,3,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0
2038,2014,CA,1,1,1,,0,0,0,1,0,0,0,2,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,,,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
2039,2014,CA,1,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,0,,,,,,1,1,0,1,0,0,0,1,1,D,0
2040,2014,CA,1,1,2,,0,1,0,0,0,0,,,2,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0
2041,2014,CA,1,1,2,,1,0,1,1,1,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,1,0,,,0,,,,,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,D,0
2042,2014,CA,1,1,1,,1,0,0,1,0,0,0,3,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,0,,,0,,,,,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
2043,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2044,2014,CA,1,1,2,,1,0,0,1,1,0,0,3,2,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
2045,2014,CA,1,1,2,,1,1,0,1,1,0,0,3,3,0,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,,,0,,,,,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0
2046,2014,CA,1,1,1,,1,0,0,1,0,0,0,3,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
2047,2014,CA,1,1,1,,1,0,0,1,0,0,0,3,4,0,,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
2048,2014,CA,1,1,2,,1,1,0,1,1,0,0,3,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,0,,,0,,,,,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,D,0
2049,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
2050,2014,CA,0,1,2,,0,1,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,,,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0
2051,2014,CA,0,1,3,,0,0,0,0,0,0,,,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,0,,,0,,,,,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
2052,2014,CA,1,1,2,,1,0,1,1,1,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,0,0,,,,,,0,0,0,1,0,0,0,0,1,0,0
2053,2014,CA,1,1,1,,1,0,0,1,1,0,0,3,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,0,1,0,,,0,,,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2054,2014,CA,1,1,1,,1,0,0,0,0,0,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,0,,,0,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2055,2014,CA,0,1,4,,0,0,0,0,0,0,,,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,1,0,1,1,0,0,,,,,,1,0,0,1,0,0,0,0,1,0,0
2056,2014,CA,0,1,4,,1,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2057,2014,CA,1,1,2,,1,0,0,1,1,0,0,2,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,D,0
2058,2014,CA,0,1,1,,0,0,0,0,0,0,,,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2059,2014,CA,1,1,1,,0,0,1,0,0,1,1,3,1,0,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,0,,,,,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0
2060,2014,CA,1,1,2,,1,1,1,1,1,0,0,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,D,0
2061,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
2062,2014,CA,1,1,2,,1,1,0,1,1,0,0,2,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0
2063,2014,CA,0,1,2,,0,0,0,0,0,0,,,2,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,D,0,0,1,0,0
2064,2014,CA,1,1,2,,0,0,0,0,1,0,0,2,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
2065,2014,CA,1,1,1,,0,0,1,0,0,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,,,0,,,,,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0
2066,2014,CA,0,1,2,,0,0,0,0,0,0,,,4,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,D,0
2067,2014,CA,0,1,1,,0,0,1,0,0,1,1,1,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2068,2014,CA,1,1,2,,0,0,1,1,0,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0
2069,2014,CA,1,1,1,,0,0,1,1,1,1,1,3,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,,,0,,,,,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
2070,2014,CA,1,1,2,,0,0,1,1,0,1,1,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0
2071,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
2072,2014,CA,0,1,1,,0,0,0,0,0,0,,,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2073,2014,CA,1,1,1,,0,1,1,1,0,1,1,3,5,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,1,0,0,,,0,,,,,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0
2074,2014,CA,0,1,1,,0,0,1,1,0,1,1,1,4,0,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,D,0
2075,2014,CA,1,1,2,,1,1,0,1,1,0,0,2,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,1,0,,,,,1,0,0,0,1,1,0,0,0,1,1,D,1,1,1,0,0
2076,2014,CA,1,1,2,,0,0,0,0,0,0,,,M,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,0,,,,,,1,1,0,1,0,0,0,0,0,0,0
2077,2014,CA,0,1,4,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
2078,2014,CA,1,0,2,,0,0,0,0,0,0,,,M,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,,,,,,1,1,0,1,0,0,0,0,0,D,1
2079,2014,CA,0,1,2,,0,0,0,0,0,0,,,2,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
2080,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0
2081,2014,CA,1,1,2,,0,1,0,1,1,0,0,2,5,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
2082,2014,CA,0,1,2,,1,0,0,0,0,0,,,2,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,D,0
2083,2014,CA,0,1,2,,0,0,1,0,0,1,1,1,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0
2084,2014,CA,1,1,2,,0,0,1,0,0,1,1,3,1,0,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,,,,,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0
2085,2014,CA,0,1,2,,0,0,0,0,0,0,,,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0
2086,2014,CA,0,1,2,,0,0,0,0,0,0,,,M,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2087,2014,CO,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
2088,2014,CO,0,1,2,,0,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
2089,2014,CO,0,1,1,,0,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2090,2014,CO,0,1,1,,1,0,0,1,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
2091,2014,CO,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
2092,2014,CO,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
2093,2014,CO,0,1,1,,0,0,0,0,0,0,,,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
2094,2014,CO,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
2095,2014,CO,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,D,1,1,0,0
2096,2014,CO,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
2097,2014,CO,0,1,2,,1,1,1,1,1,1,0,1,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,1,1,0,,,0,,,,,1,0,1,0,1,1,1,1,0,1,1,1,D,0,1,D,0
2098,2014,CO,0,1,1,,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,1,D,D,1,D,0
2099,2014,CO,0,1,2,,0,0,0,0,0,0,,,2,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,D,1,D,D,1,D,0
2100,2014,CO,0,1,2,,0,0,0,0,0,0,,,2,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,0,1,0,D,1,D,0
